monster,slayer_req,taskweight
Aberrant spectres,60,6
Abyssal demons,85,9
Adamant dragons,1,2
Ankous,1,5
Aviansies,1,6
Black demons,1,9
Black dragons,1,6
Bloodvelds,50,9
Blue dragons,1,4
Bosses,1,8
Brine rats,47,3
Cave horrors,58,5
Cave krakens,87,6
Dagannoths,1,8
Dark beasts,90,5
Drakes,84,7
Dust devils,65,6
Elves,1,4
Fire giants,1,9
Fossil Island Wyverns,66,5
Gargoyles,75,6
Greater demons,1,7
Hellhounds,1,8
Iron dragons,1,5
Kalphites,1,9
Kurasks,70,3
Lizardmen,1,8
Minions of Scabaras,1,4
Mithril dragons,1,5
Mutated Zygomites,57,2
Nechryaels,80,7
Red dragons,1,5
Rune dragons,1,2
Skeletal Wyverns,72,5
Smoke devils,93,7
Spiritual creatures,63,6
Steel dragons,1,5
Suqahs,1,8
Trolls,1,6
Turoths,55,3
TzHaar,1,10
Wyrms,62,7
